"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","95",".next() - get next sibling DOM element","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","137","finds element by class name regex","Assertions","2026-07-01","passed","2026-07-01","","Explicit Assertions","",""
"","90",".parent() - get parent DOM element from DOM elements","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","134",".focus() - focus on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","94","cy.root() - query the root DOM element","Querying","2026-07-01","passed","2026-07-01","","","",""
"","249","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-07-01","passed","2026-07-01","","","",""
"","388",".blur() - blur off a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","479","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-07-01","passed","2026-07-01","","","",""
"","107","yields the returned value to the next command","Connectors","2026-07-01","passed","2026-07-01","",".then()","",""
"","115","expect - make an assertion about a specified subject","Assertions","2026-07-01","passed","2026-07-01","","Explicit Assertions","",""
"","99","Get CPU architecture name of underlying OS","Cypress APIs","2026-07-01","passed","2026-07-01","","Cypress.arch","",""
"","110","pass your own callback function to should()","Assertions","2026-07-01","passed","2026-07-01","","Explicit Assertions","",""
"","270",".each() - iterate over an array of elements","Connectors","2026-07-01","passed","2026-07-01","","","",""
"","247",".children() - get child DOM elements","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","2524","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-07-01","passed","2026-07-01","","","",""
"","127",".its() - get properties on the current subject","Connectors","2026-07-01","passed","2026-07-01","","","",""
"","208",".dblclick() - double click on a DOM element","Actions","2026-06-30","passed","2026-06-30","","","",""
"","179","Cypress.$ - call a jQuery method","Utilities","2026-07-01","passed","2026-07-01","","","",""
"","98",".eq() - get a DOM element at a specific index","Traversal","2026-07-01","passed","2026-07-01","","","",""
"","96","can throw any error","Assertions","2026-07-01","passed","2026-07-01","","Explicit Assertions","",""
